Date,Open,High,Low,Close,Adj Close,Volume,Company
06-06-2018,134,136.309998,133.610001,136.279999,132.850647,8065800,VISA
07-06-2018,136.360001,136.580002,133.050003,133.839996,130.472046,8309200,VISA
08-06-2018,133.440002,134.919998,133.229996,134.740005,131.349411,5261000,VISA
11-06-2018,134.899994,135.190002,133.809998,133.910004,130.540283,7988700,VISA
12-06-2018,134.039993,135.130005,133.539993,134.860001,131.46637,5743300,VISA
13-06-2018,135.179993,135.770004,134.309998,134.399994,131.017944,4881600,VISA
14-06-2018,134.960007,135.699997,134.75,135,131.602829,6464100,VISA
15-06-2018,135.100006,135.729996,134,135.100006,131.700333,10044500,VISA
18-06-2018,134.369995,136.309998,134.119995,136.199997,132.77269,8713300,VISA
19-06-2018,134.559998,135.240005,133.570007,135.110001,131.710098,6557600,VISA
20-06-2018,135.520004,136.690002,135.5,135.5,132.090256,7192000,VISA
21-06-2018,135.270004,136.119995,134.259995,134.529999,131.144684,8689800,VISA
22-06-2018,135.600006,135.850006,134.259995,135.330002,131.924545,6031900,VISA
25-06-2018,134.910004,134.910004,129.529999,130.929993,127.635292,10086200,VISA
26-06-2018,132.110001,133.789993,131.610001,132.550003,129.214493,7733900,VISA
27-06-2018,133.009995,133.660004,131.009995,131.020004,127.723015,7282100,VISA
28-06-2018,131,133.119995,130.649994,132.740005,129.399704,6576500,VISA
29-06-2018,133.279999,134.190002,132.449997,132.449997,129.11702,7259000,VISA
02-07-2018,131.960007,133.050003,131.149994,132.5,129.165756,7554400,VISA
03-07-2018,133.009995,133.410004,131.419998,131.449997,128.142151,3621600,VISA
05-07-2018,132.130005,133.330002,131.830002,133.289993,129.935867,4729300,VISA
06-07-2018,133.580002,134.279999,132.5,134.089996,130.715729,4839800,VISA
09-07-2018,134.940002,135.970001,134.789993,135.520004,132.109772,8960700,VISA
10-07-2018,135.570007,137.330002,135.339996,136.690002,133.250336,6561900,VISA
11-07-2018,136.630005,138.809998,136.600006,138.149994,134.673584,10648700,VISA
12-07-2018,139.009995,139.949997,138.660004,139.899994,136.379547,11816100,VISA
13-07-2018,139.789993,140.029999,137.539993,139.419998,135.911606,7865700,VISA
16-07-2018,139.419998,139.550003,138.160004,138.460007,134.975784,4969900,VISA
17-07-2018,138.179993,139.910004,137.419998,139.639999,136.126083,5412600,VISA
18-07-2018,139.910004,141.169998,139.369995,140.899994,137.354401,7008600,VISA
19-07-2018,140.949997,140.990005,139.929993,140.130005,136.60376,7937000,VISA
20-07-2018,140,141.470001,139.919998,140.990005,137.442108,7153600,VISA
23-07-2018,140.660004,140.970001,139.639999,140.029999,136.506256,7723600,VISA
24-07-2018,140.990005,141.470001,139.509995,140.029999,136.506256,8336700,VISA
25-07-2018,140.339996,142.770004,139.899994,142.639999,139.050613,8376000,VISA
26-07-2018,141.610001,142.789993,139.529999,142.5,138.914124,10520800,VISA
27-07-2018,143.080002,143.139999,139.210007,140.710007,137.169159,7014900,VISA
30-07-2018,140.130005,140.419998,135.309998,136.479996,133.045563,12812400,VISA
31-07-2018,137.130005,138.020004,135.630005,136.740005,133.299118,7683300,VISA
01-08-2018,137.740005,138.740005,137.410004,138.25,134.771057,7087700,VISA
02-08-2018,137.449997,139.190002,137,138.919998,135.42421,12300000,VISA
03-08-2018,139.289993,139.860001,137.940002,139.820007,136.301605,4617500,VISA
06-08-2018,139.649994,140.259995,139.050003,139.710007,136.194305,5143000,VISA
07-08-2018,139.979996,140.690002,139.869995,140.279999,136.749985,10034500,VISA
08-08-2018,139.979996,140.990005,139.830002,140.679993,137.139923,5389500,VISA
09-08-2018,140.729996,141.240005,139.899994,140.009995,136.486786,5679300,VISA
10-08-2018,139.880005,140.740005,139.25,139.729996,136.213806,6523500,VISA
13-08-2018,140.529999,141.240005,139.830002,140.210007,136.681747,4817500,VISA
14-08-2018,140.300003,140.990005,139.880005,140.759995,137.21788,5888700,VISA
15-08-2018,140.350006,140.690002,138.839996,139.919998,136.399048,5288400,VISA
16-08-2018,141.070007,141.490005,140.419998,140.649994,137.316772,5931700,VISA
